vehicle_id,fir_number,reg_number,vehicle_type,make_color
V0000861,FIR-2023-001592,KA28TN4280,Auto Rickshaw,Blue Honda
V0000862,FIR-2023-001596,KA06UN2223,Auto Rickshaw,White Hyundai
V0000863,FIR-2024-001597,KA25PA5763,Mini Truck,Grey Honda
V0000864,FIR-2026-001599,KA18OH7613,Mini Truck,
V0000865,FIR-2025-001602,KA34QX8246,Car,
V0000866,FIR-2023-001604,KA49HU4543,Motorcycle,Black Hyundai
V0000867,FIR-2025-001606,KA08IY2820,SUV,Blue TVS
V0000868,FIR-2026-001607,KA35NZ5137,Motorcycle,Silver Hero
V0000869,FIR-2026-001611,KA13BQ9564,SUV,
V0000870,FIR-2025-001618,KA24QU9959,SUV,Maroon Maruti
V0000871,FIR-2026-001623,KA04LH1124,Auto Rickshaw,Maroon Hyundai
V0000872,FIR-2024-001625,KA52CR6341,Mini Truck,Black Bajaj
V0000873,FIR-2025-001626,KA26WF0742,Auto Rickshaw,Red Maruti
V0000874,FIR-2024-001629,KA37GO4198,Tempo,White Honda
V0000875,FIR-2024-001633,KA19GW3726,Tempo,Red TVS
V0000876,FIR-2024-001633,KA37NL1636,Car,Silver Hyundai
V0000877,FIR-2025-001634,KA39HN0117,Mini Truck,Black Maruti
V0000878,FIR-2025-001634,KA24LD3811,Motorcycle,
V0000879,FIR-2024-001637,KA11EF6839,Car,White Bajaj
V0000880,FIR-2025-001638,KA35ON1020,Car,Grey Hero
V0000881,FIR-2023-001644,KA48PO4246,Mini Truck,White Maruti
V0000882,FIR-2024-001645,KA41FY5755,Car,
V0000883,FIR-2025-001646,KA44UD7188,SUV,Black Maruti
V0000884,FIR-2026-001647,KA39IT2005,Auto Rickshaw,Maroon TVS
V0000885,FIR-2024-001649,KA35VV2012,Tempo,White Bajaj
V0000886,FIR-2025-001650,KA33SH4020,Scooter,Red TVS
V0000887,FIR-2026-001651,KA05BX6385,Car,Blue Bajaj
V0000888,FIR-2026-001651,KA17YC2082,Tempo,Red Honda
V0000889,FIR-2024-001653,KA44MM3249,Tempo,
V0000890,FIR-2025-001654,KA15IN7956,Mini Truck,Black Hyundai
V0000891,FIR-2026-001655,KA19ZP1613,Car,Red Hyundai
V0000892,FIR-2026-001659,KA02PZ4557,Scooter,Blue Bajaj
V0000893,FIR-2023-001660,KA05SW3978,Car,White TVS
V0000894,FIR-2024-001661,KA48XS4003,Tempo,Blue Hyundai
V0000895,FIR-2024-001661,KA14OV8540,Auto Rickshaw,Grey Bajaj
V0000896,FIR-2024-001665,KA18KK8849,Mini Truck,Maroon Maruti
V0000897,FIR-2026-001667,KA50YQ7939,SUV,Black Honda
V0000898,FIR-2023-001668,KA45RV7253,Car,
V0000899,FIR-2026-001671,KA15EF1633,Car,White TVS
V0000900,FIR-2023-001676,KA50LF9926,Scooter,
V0000901,FIR-2023-001676,KA49YD6965,Motorcycle,Red TVS
V0000902,FIR-2025-001678,KA24JK8680,Mini Truck,Black Hyundai
V0000903,FIR-2026-001683,KA13UL4039,Scooter,Red Honda
V0000904,FIR-2023-001684,KA30BG4493,Motorcycle,Black Maruti
V0000905,FIR-2023-001684,KA03CA8681,Scooter,
V0000906,FIR-2024-001685,KA18YN4133,Scooter,Silver Maruti
V0000907,FIR-2023-001688,KA40FM1612,Motorcycle,Grey Hyundai
V0000908,FIR-2024-001689,KA46EN2885,Scooter,Blue Bajaj
V0000909,FIR-2025-001694,KA39QE3267,SUV,Maroon Hyundai
V0000910,FIR-2023-001696,KA50UB0508,Motorcycle,Blue Hero
V0000911,FIR-2024-001697,KA43EL2441,Motorcycle,
V0000912,FIR-2024-001697,KA49WQ0496,Car,
V0000913,FIR-2024-001701,KA38SY3248,Scooter,Maroon Hyundai
V0000914,FIR-2026-001703,KA05SI4476,Car,Grey Hyundai
V0000915,FIR-2023-001704,KA18KV3624,Scooter,Black Maruti
V0000916,FIR-2024-001705,KA02MK6624,SUV,Silver TVS
V0000917,FIR-2024-001705,KA27EY8907,Tempo,
V0000918,FIR-2024-001717,KA40RA6455,Tempo,Silver Honda
V0000919,FIR-2024-001717,KA47FP4942,Mini Truck,Black TVS
V0000920,FIR-2026-001723,KA06UN2223,SUV,
V0000921,FIR-2023-001728,KA14BH2636,Mini Truck,
V0000922,FIR-2024-001729,KA01NW2655,Scooter,Maroon Honda
V0000923,FIR-2024-001729,KA19JH8084,Tempo,Red Bajaj
V0000924,FIR-2026-001731,KA04JU1485,Auto Rickshaw,Blue Hero
V0000925,FIR-2024-001733,KA18KK8849,Car,Black Maruti
V0000926,FIR-2023-001736,KA29EW6746,Tempo,Grey Bajaj
V0000927,FIR-2023-001736,KA21KY6211,Motorcycle,Black TVS
V0000928,FIR-2024-001737,KA48PO4246,Car,Red TVS
V0000929,FIR-2026-001743,KA30BR4082,Scooter,Blue Hyundai
V0000930,FIR-2023-001744,KA25KG7449,Auto Rickshaw,
V0000931,FIR-2026-001751,KA12KT5312,Mini Truck,Red TVS
V0000932,FIR-2023-001752,KA53ZQ9829,Tempo,White Maruti
V0000933,FIR-2023-001752,KA07LU3001,Auto Rickshaw,White Maruti
V0000934,FIR-2024-001753,KA41HG4141,Tempo,Maroon Honda
V0000935,FIR-2025-001758,KA46EN2885,Scooter,
V0000936,FIR-2024-001761,KA20OQ8390,Mini Truck,
V0000937,FIR-2024-001761,KA06EE3788,Mini Truck,Silver Maruti
V0000938,FIR-2025-001762,KA27NA9939,Motorcycle,Red Honda
V0000939,FIR-2026-001763,KA49YI2582,Auto Rickshaw,Red Honda
V0000940,FIR-2025-001766,KA17OF9386,Mini Truck,
V0000941,FIR-2026-001767,KA40ZR7921,Motorcycle,Maroon Honda
V0000942,FIR-2023-001768,KA08MD0679,Scooter,Black Honda
V0000943,FIR-2026-001771,KA38PP1038,Motorcycle,Grey Maruti
V0000944,FIR-2025-001774,KA31UK1907,Tempo,Red Bajaj
V0000945,FIR-2023-001776,KA18KH1419,SUV,Blue Hero
V0000946,FIR-2024-001781,KA36SX4227,Mini Truck,White TVS
V0000947,FIR-2026-001783,KA08QF3715,Scooter,Silver Maruti
V0000948,FIR-2026-001783,KA39SN9019,Motorcycle,Maroon TVS
V0000949,FIR-2023-001784,KA46ZX9523,Auto Rickshaw,Blue Maruti
V0000950,FIR-2024-001785,KA21KY6211,Auto Rickshaw,
V0000951,FIR-2025-001786,KA50LF9926,Mini Truck,
V0000952,FIR-2026-001787,KA53FY7031,Scooter,Maroon Maruti
V0000953,FIR-2026-001787,KA48HS1548,Auto Rickshaw,White Maruti
V0000954,FIR-2024-001789,KA42BM6986,Mini Truck,Black Hero
V0000955,FIR-2026-001795,KA08YY5905,Tempo,Grey Maruti
V0000956,FIR-2023-001796,KA01YW5316,Tempo,Black Hero
V0000957,FIR-2025-001798,KA34CN6068,Scooter,Red Hyundai
V0000958,FIR-2024-001801,KA18BJ0162,SUV,Red Honda
V0000959,FIR-2023-001804,KA40OM9577,Motorcycle,Red Maruti
V0000960,FIR-2024-001805,KA40AF5307,Car,Black Hero
V0000961,FIR-2023-001808,KA31OP7094,SUV,
V0000962,FIR-2023-001808,KA01NP1729,Auto Rickshaw,Silver Maruti
V0000963,FIR-2024-001809,KA41EP5805,Motorcycle,Maroon TVS
V0000964,FIR-2024-001813,KA39JH8612,Motorcycle,
V0000965,FIR-2025-001814,KA23ZK2446,Scooter,
V0000966,FIR-2026-001815,KA38SV0444,Auto Rickshaw,Red Hyundai
V0000967,FIR-2023-001816,KA35ON1020,Car,Blue TVS
V0000968,FIR-2023-001816,KA38SS0252,Mini Truck,
V0000969,FIR-2024-001817,KA49UQ2775,SUV,
V0000970,FIR-2024-001817,KA43YS4657,SUV,White Hyundai
V0000971,FIR-2025-001818,KA13ND4633,Auto Rickshaw,Silver Bajaj
V0000972,FIR-2026-001827,KA14JU3479,Car,Maroon Hyundai
V0000973,FIR-2024-001829,KA51DY1906,SUV,
V0000974,FIR-2024-001829,KA43QR9755,SUV,Grey Hyundai
V0000975,FIR-2025-001830,KA17PX0268,Auto Rickshaw,Grey Hero
V0000976,FIR-2026-001835,KA53AM5552,Auto Rickshaw,White Hero
V0000977,FIR-2023-001836,KA51YL5443,Tempo,Black TVS
V0000978,FIR-2025-001838,KA28BG0129,Auto Rickshaw,Grey Hero
V0000979,FIR-2026-001843,KA47QU4425,Mini Truck,Blue TVS
V0000980,FIR-2026-001843,KA02MK6624,Motorcycle,
V0000981,FIR-2024-001845,KA32AO5556,Tempo,Red Bajaj
V0000982,FIR-2023-001852,KA43QR9755,Scooter,Red Hero
V0000983,FIR-2024-001853,KA25WE3505,Scooter,Blue Bajaj
V0000984,FIR-2026-001855,KA51LL1977,SUV,Black Hero
V0000985,FIR-2024-001857,KA21AS3129,Motorcycle,Grey Maruti
V0000986,FIR-2026-001859,KA47FO2091,Tempo,Silver TVS
V0000987,FIR-2025-001862,KA01NP1729,Tempo,Red Bajaj
V0000988,FIR-2024-001865,KA26HE0090,Mini Truck,
V0000989,FIR-2026-001867,KA39IC6100,Scooter,Blue Hyundai
V0000990,FIR-2023-001868,KA06EE3788,Motorcycle,Maroon TVS
V0000991,FIR-2026-001871,KA47QU4425,Tempo,
V0000992,FIR-2026-001871,KA30BR4082,Scooter,Black Maruti
V0000993,FIR-2024-001873,KA21HO4367,Motorcycle,
V0000994,FIR-2024-001873,KA49TB8786,Car,White Bajaj
V0000995,FIR-2026-001875,KA01KP0470,SUV,
V0000996,FIR-2024-001877,KA23RN6071,Mini Truck,White TVS
V0000997,FIR-2025-001878,KA30NX9707,Mini Truck,Red Honda
V0000998,FIR-2026-001879,KA07QY1676,Auto Rickshaw,
V0000999,FIR-2023-001880,KA49MY2277,Auto Rickshaw,Silver Honda
V0001000,FIR-2025-001882,KA50YQ7939,Auto Rickshaw,Red Bajaj
V0001001,FIR-2025-001882,KA28XM0050,Tempo,
V0001002,FIR-2024-001885,KA13KA6205,Mini Truck,Grey Hyundai
V0001003,FIR-2025-001886,KA49YD6965,Car,Maroon Honda
V0001004,FIR-2023-001888,KA01NP1729,Scooter,Red TVS
V0001005,FIR-2024-001889,KA05NN5421,Car,Red Bajaj
V0001006,FIR-2024-001889,KA39QU2851,Motorcycle,Silver Hero
V0001007,FIR-2025-001890,KA19QA9178,Tempo,
V0001008,FIR-2025-001890,KA04JS4827,Auto Rickshaw,Maroon Bajaj
V0001009,FIR-2023-001892,KA05WJ3841,Motorcycle,Grey Hyundai
V0001010,FIR-2023-001896,KA06NQ7986,Tempo,Grey Bajaj
V0001011,FIR-2023-001896,KA21YO8270,Motorcycle,
V0001012,FIR-2024-001897,KA15FZ8486,Tempo,Silver Hero
V0001013,FIR-2026-001903,KA07ZC5554,Tempo,Black Hero
V0001014,FIR-2024-001905,KA34UT8087,Scooter,Silver Bajaj
V0001015,FIR-2025-001906,KA40RA6455,Tempo,Maroon Bajaj
V0001016,FIR-2026-001907,KA51HX5553,Tempo,
V0001017,FIR-2025-001910,KA19XP6758,SUV,Maroon Honda
V0001018,FIR-2023-001912,KA44OY8824,Scooter,Silver Honda
V0001019,FIR-2025-001914,KA24GU0615,Scooter,
V0001020,FIR-2024-001917,KA43QR9755,Tempo,Maroon TVS
V0001021,FIR-2026-001919,KA39YT6742,SUV,Maroon Maruti
V0001022,FIR-2023-001920,KA26HE0090,Mini Truck,
V0001023,FIR-2023-001920,KA20YM6865,Auto Rickshaw,
V0001024,FIR-2024-001921,KA19SM0788,SUV,Black Maruti
V0001025,FIR-2025-001922,KA39QU2537,Tempo,Grey Honda
V0001026,FIR-2026-001923,KA52TH7999,Tempo,Grey Hyundai
V0001027,FIR-2026-001923,KA25KG7449,Mini Truck,Red Hyundai
V0001028,FIR-2023-001924,KA30BR4082,Auto Rickshaw,Silver Maruti
V0001029,FIR-2023-001928,KA26JG2245,Mini Truck,
V0001030,FIR-2024-001929,KA05NN5421,Auto Rickshaw,White Honda
V0001031,FIR-2023-001932,KA35ON1020,Car,White Bajaj
V0001032,FIR-2024-001933,KA16GA2496,Mini Truck,Maroon Hero
V0001033,FIR-2025-001934,KA38AJ9433,Auto Rickshaw,
V0001034,FIR-2026-001935,KA20IT2002,Car,White Bajaj
V0001035,FIR-2024-001937,KA04LH1124,Mini Truck,Grey Hyundai
V0001036,FIR-2024-001941,KA32BE6172,Motorcycle,
V0001037,FIR-2026-001943,KA47FO2091,Scooter,Silver Bajaj
V0001038,FIR-2023-001944,KA12IH2553,Motorcycle,Grey TVS
V0001039,FIR-2024-001945,KA21YO8270,Tempo,
V0001040,FIR-2025-001946,KA01QI3227,Mini Truck,Maroon Hyundai
V0001041,FIR-2025-001946,KA41HI7206,Tempo,Maroon TVS
V0001042,FIR-2026-001947,KA06EE3788,Car,
V0001043,FIR-2023-001948,KA50VO8428,Mini Truck,Maroon Maruti
V0001044,FIR-2024-001949,KA16GA2496,SUV,Grey Honda
V0001045,FIR-2025-001950,KA49HU4543,Auto Rickshaw,Black Maruti
V0001046,FIR-2025-001950,KA04PT4081,SUV,Red Maruti
V0001047,FIR-2026-001951,KA04ZJ9462,Tempo,Blue Honda
V0001048,FIR-2025-001954,KA03TK4358,Motorcycle,
V0001049,FIR-2023-001956,KA43OC5210,Scooter,White Maruti
V0001050,FIR-2024-001961,KA44MM3249,Motorcycle,Blue Honda
V0001051,FIR-2026-001963,KA52SP5520,Scooter,White Honda
V0001052,FIR-2023-001968,KA06XZ7398,SUV,
V0001053,FIR-2025-001970,KA21YO8270,Auto Rickshaw,
V0001054,FIR-2023-001972,KA48PO4246,Motorcycle,Black Bajaj
V0001055,FIR-2024-001973,KA35ON1020,Tempo,Grey Hyundai
V0001056,FIR-2024-001981,KA14RE3521,Scooter,Silver Honda
V0001057,FIR-2024-001981,KA51ZF7903,Motorcycle,Black Bajaj
V0001058,FIR-2026-001983,KA16EP1874,Mini Truck,Silver TVS
V0001059,FIR-2023-001988,KA46XW1925,SUV,White Hero
V0001060,FIR-2024-001989,KA18KK8849,Car,Grey Hero
V0001061,FIR-2026-001991,KA10MK7076,SUV,Silver Bajaj
V0001062,FIR-2025-001994,KA15FZ8486,Car,
V0001063,FIR-2024-002001,KA48ZR4280,Tempo,
V0001064,FIR-2024-002001,KA45AY9432,Auto Rickshaw,White TVS
V0001065,FIR-2025-002002,KA49LL6903,Mini Truck,Black Bajaj
V0001066,FIR-2025-002006,KA05NN5421,SUV,White Hero
V0001067,FIR-2026-002007,KA44CZ8605,Auto Rickshaw,
V0001068,FIR-2023-002008,KA05QU5590,Motorcycle,White Maruti
V0001069,FIR-2023-002008,KA38SV0444,Scooter,Maroon TVS
V0001070,FIR-2023-002012,KA21KY6211,Car,Silver TVS
V0001071,FIR-2026-002019,KA47QU4425,SUV,Silver Honda
V0001072,FIR-2023-002020,KA33EH6366,Motorcycle,Red Bajaj
V0001073,FIR-2024-002021,KA40ZR7921,Tempo,Silver Hero
V0001074,FIR-2024-002025,KA05WJ3841,Scooter,White Honda
V0001075,FIR-2026-002027,KA33WZ5845,Mini Truck,Grey Honda
V0001076,FIR-2023-002028,KA52JG2617,Scooter,Black Maruti
V0001077,FIR-2026-002031,KA12QV6064,Scooter,Red Maruti
V0001078,FIR-2026-002031,KA47FO2091,Auto Rickshaw,Silver Bajaj
V0001079,FIR-2024-002033,KA28LU7532,Auto Rickshaw,Silver TVS
V0001080,FIR-2025-002034,KA48BE9118,Scooter,Silver Hyundai
V0001081,FIR-2025-002034,KA38ZL2874,Auto Rickshaw,Silver Hyundai
V0001082,FIR-2025-002038,KA39QC8151,Mini Truck,Maroon Honda
V0001083,FIR-2026-002043,KA16EP1874,Auto Rickshaw,Grey Bajaj
V0001084,FIR-2024-002045,KA28RO2607,Mini Truck,Grey Honda
V0001085,FIR-2024-002045,KA06AC2706,Mini Truck,
V0001086,FIR-2025-002046,KA42PR6885,Auto Rickshaw,Grey Bajaj
V0001087,FIR-2026-002047,KA05SW3978,Motorcycle,
V0001088,FIR-2026-002051,KA11XN7404,Scooter,Blue Hyundai
V0001089,FIR-2026-002051,KA48PO4246,Mini Truck,Red Hero
V0001090,FIR-2024-002053,KA12GV9021,Motorcycle,
V0001091,FIR-2025-002054,KA06NW8165,Car,Red Hyundai
V0001092,FIR-2025-002058,KA05NN5421,Car,Blue TVS
V0001093,FIR-2025-002058,KA32FG0825,Mini Truck,Black Hero
V0001094,FIR-2026-002059,KA06EE3788,SUV,Grey Honda
V0001095,FIR-2025-002062,KA49IM1171,SUV,
V0001096,FIR-2026-002067,KA05QM2815,Car,Blue Honda
V0001097,FIR-2023-002068,KA46PS9533,Car,Black TVS
V0001098,FIR-2024-002069,KA40ZR7921,Auto Rickshaw,Silver Hero
V0001099,FIR-2023-002076,KA28XJ8519,Mini Truck,
V0001100,FIR-2023-002076,KA28RO2607,Car,Blue Honda
V0001101,FIR-2024-002077,KA07VB6140,Scooter,White Maruti
V0001102,FIR-2023-002080,KA37BC9016,Motorcycle,Black Bajaj
V0001103,FIR-2024-002085,KA33UU0667,Car,Black Maruti
V0001104,FIR-2025-002086,KA45WW2206,Tempo,Grey Hero
V0001105,FIR-2025-002090,KA38PY7393,Mini Truck,
V0001106,FIR-2026-002095,KA16RM5034,Mini Truck,Maroon Maruti
V0001107,FIR-2023-002096,KA15GF1005,Tempo,Maroon Hero
V0001108,FIR-2024-002097,KA30XR0128,Car,Blue Hero
V0001109,FIR-2024-002101,KA15PS7645,SUV,Maroon Bajaj
V0001110,FIR-2025-002102,KA38SN3983,Scooter,Blue Maruti
V0001111,FIR-2026-002103,KA43PB3030,Tempo,
V0001112,FIR-2023-002104,KA48OS2063,Tempo,White Hero
V0001113,FIR-2023-002104,KA51SZ0672,Tempo,White Hero
V0001114,FIR-2024-002105,KA52TH7999,Scooter,Blue Hero
V0001115,FIR-2025-002106,KA08WD3353,Mini Truck,Red Bajaj
V0001116,FIR-2025-002106,KA40ZR7921,SUV,Silver Hero
V0001117,FIR-2026-002107,KA04AS7093,Scooter,
V0001118,FIR-2026-002107,KA37RX6622,Scooter,
V0001119,FIR-2026-002111,KA50LF9926,SUV,
V0001120,FIR-2025-002118,KA11UT2502,Mini Truck,Red Honda
V0001121,FIR-2023-002120,KA43QR9755,Car,
V0001122,FIR-2023-002120,KA01NP1729,Tempo,Maroon TVS
V0001123,FIR-2025-002126,KA05QU5590,Mini Truck,Blue Hero
V0001124,FIR-2026-002127,KA08WJ5796,Car,White Bajaj
V0001125,FIR-2023-002128,KA46AK7144,Motorcycle,
V0001126,FIR-2024-002129,KA11SS0403,Scooter,
V0001127,FIR-2024-002129,KA05NN5421,Scooter,Grey Honda
V0001128,FIR-2023-002132,KA15LZ7797,Tempo,Black Maruti
V0001129,FIR-2023-002132,KA31BC4254,Car,
V0001130,FIR-2024-002133,KA39XW1876,Scooter,Blue Hero
V0001131,FIR-2024-002133,KA02IW0726,Tempo,
V0001132,FIR-2024-002137,KA17MG4701,Scooter,
V0001133,FIR-2024-002137,KA42FL8344,Motorcycle,White Hyundai
V0001134,FIR-2026-002139,KA14VL4386,Motorcycle,Blue Bajaj
V0001135,FIR-2026-002139,KA16GA2496,Mini Truck,Blue Bajaj
V0001136,FIR-2025-002142,KA35LJ3977,Tempo,Maroon Bajaj
V0001137,FIR-2023-002144,KA19DW1389,SUV,
V0001138,FIR-2023-002148,KA20BI9351,Auto Rickshaw,Silver TVS
V0001139,FIR-2024-002149,KA31TP2632,Auto Rickshaw,Red TVS
V0001140,FIR-2026-002151,KA38SV0444,Mini Truck,Black Bajaj
V0001141,FIR-2026-002151,KA06UN2223,Car,Black Hyundai
V0001142,FIR-2023-002152,KA12MB9104,Tempo,Blue Bajaj
V0001143,FIR-2026-002155,KA40RA6455,Tempo,
V0001144,FIR-2024-002157,KA30BR4082,Motorcycle,Silver Hyundai
V0001145,FIR-2024-002157,KA08QH1409,SUV,Blue Hyundai
V0001146,FIR-2025-002162,KA33PH4011,Tempo,Black TVS
V0001147,FIR-2026-002163,KA49WF5196,Motorcycle,Grey Hyundai
V0001148,FIR-2024-002165,KA46EN2885,Scooter,
V0001149,FIR-2024-002165,KA49HU4543,Car,White Hero
V0001150,FIR-2025-002166,KA24FH3998,Car,Maroon Hero
V0001151,FIR-2025-002166,KA12BQ6226,Auto Rickshaw,Black Honda
V0001152,FIR-2024-002169,KA06PA8837,SUV,
V0001153,FIR-2024-002173,KA06KY9186,Car,Blue Maruti
V0001154,FIR-2023-002176,KA26LJ8549,Motorcycle,Black Honda
V0001155,FIR-2024-002177,KA21KY6211,Scooter,Red Hero
V0001156,FIR-2024-002177,KA05NN5421,Car,Blue Honda
V0001157,FIR-2026-002179,KA15IN7956,Tempo,Black TVS
V0001158,FIR-2023-002180,KA23RN6071,Scooter,Blue Bajaj
V0001159,FIR-2023-002180,KA07PT6275,Mini Truck,Black TVS
V0001160,FIR-2025-002182,KA17PX2948,Auto Rickshaw,Grey Maruti
V0001161,FIR-2025-002182,KA46FY7513,Mini Truck,
V0001162,FIR-2023-002184,KA06PA8837,Car,
V0001163,FIR-2023-002188,KA44CF8149,Tempo,Red Hyundai
V0001164,FIR-2023-002192,KA37NI7148,Mini Truck,
V0001165,FIR-2023-002200,KA40ZR7921,Car,Red Honda
V0001166,FIR-2025-002202,KA49SH4322,Auto Rickshaw,Black Honda
V0001167,FIR-2025-002202,KA26BA3787,Motorcycle,Blue TVS
V0001168,FIR-2026-002203,KA21QF8965,Car,Silver TVS
V0001169,FIR-2024-002205,KA25PA5763,Scooter,
V0001170,FIR-2025-002206,KA09RP3983,SUV,Black Bajaj
V0001171,FIR-2025-002210,KA16YE4363,Scooter,Maroon TVS
V0001172,FIR-2026-002211,KA29EB8994,Scooter,Blue Hyundai
V0001173,FIR-2023-002212,KA23XV1959,Car,Grey Hero
V0001174,FIR-2025-002214,KA41HQ0248,Car,Red Maruti
V0001175,FIR-2025-002214,KA13EJ0390,Tempo,White Honda
V0001176,FIR-2025-002218,KA07UX0734,Scooter,Maroon Bajaj
V0001177,FIR-2026-002219,KA09LS1593,Auto Rickshaw,Maroon Hero
V0001178,FIR-2024-002221,KA32YK3604,SUV,
V0001179,FIR-2026-002223,KA04SY8440,Tempo,Red TVS
V0001180,FIR-2024-002225,KA21YO8270,Car,Black Honda
V0001181,FIR-2026-002227,KA38CG4087,Auto Rickshaw,
V0001182,FIR-2024-002233,KA44TZ1983,Scooter,Blue Hero
V0001183,FIR-2024-002233,KA18YN4133,Scooter,Maroon Hero
V0001184,FIR-2023-002236,KA08OE7612,Motorcycle,Silver Hero
V0001185,FIR-2024-002237,KA41LE3417,Car,Black Hyundai
V0001186,FIR-2026-002239,KA42LG0055,Auto Rickshaw,White Hero
V0001187,FIR-2025-002242,KA35ON1020,Mini Truck,Red Hyundai
V0001188,FIR-2024-002245,KA14VN7771,SUV,
V0001189,FIR-2025-002246,KA24JR0807,SUV,Black Honda
V0001190,FIR-2025-002254,KA30NX9707,Scooter,Red Honda
V0001191,FIR-2026-002255,KA38SV0444,Auto Rickshaw,Black Maruti
V0001192,FIR-2026-002259,KA08OE7612,SUV,Red Hyundai
V0001193,FIR-2024-002261,KA50LF9926,Scooter,Grey Maruti
V0001194,FIR-2025-002270,KA09UC4676,Motorcycle,Black Hero
V0001195,FIR-2026-002275,KA02KS7870,Tempo,Grey Hyundai
V0001196,FIR-2026-002279,KA35IG5433,Mini Truck,Maroon Hero
V0001197,FIR-2023-002280,KA40RA6455,Auto Rickshaw,Red Maruti
V0001198,FIR-2026-002283,KA11JO2191,Auto Rickshaw,Maroon Bajaj
V0001199,FIR-2025-002286,KA01NP1729,SUV,Silver Bajaj
V0001200,FIR-2024-002289,KA38SV0444,SUV,
V0001201,FIR-2023-002292,KA44MM3249,Mini Truck,Black Hyundai
V0001202,FIR-2026-002295,KA30BR4082,Auto Rickshaw,
V0001203,FIR-2026-002295,KA25KG7449,Tempo,Grey Honda
V0001204,FIR-2023-002296,KA46GM6929,SUV,Red Hero
V0001205,FIR-2024-002297,KA10JH9322,Motorcycle,Black TVS
V0001206,FIR-2023-002300,KA04LH1124,Mini Truck,Grey Maruti
V0001207,FIR-2026-002303,KA47OG0293,SUV,
V0001208,FIR-2024-002305,KA25WE3505,Auto Rickshaw,White Bajaj
V0001209,FIR-2026-002311,KA49HU4543,Mini Truck,Grey Maruti
V0001210,FIR-2023-002312,KA32DJ2130,Scooter,Red TVS
V0001211,FIR-2023-002312,KA53TO5133,Auto Rickshaw,Grey TVS
V0001212,FIR-2025-002314,KA50UB0508,Car,Maroon Honda
V0001213,FIR-2026-002315,KA05WJ3841,Motorcycle,
V0001214,FIR-2025-002318,KA32VA5901,SUV,Maroon Maruti
V0001215,FIR-2026-002319,KA15WJ6477,Scooter,Blue Hero
V0001216,FIR-2023-002320,KA30BR4082,SUV,
V0001217,FIR-2023-002320,KA46WM8099,Car,
V0001218,FIR-2025-002322,KA51LW7565,Car,
V0001219,FIR-2026-002323,KA12KC6536,Motorcycle,Blue Maruti
V0001220,FIR-2023-002328,KA52HB9349,Motorcycle,Red Bajaj
V0001221,FIR-2023-002328,KA41HI7206,Tempo,
V0001222,FIR-2024-002329,KA29RS3336,Motorcycle,Grey Hyundai
V0001223,FIR-2025-002330,KA51SZ0672,SUV,Maroon Maruti
V0001224,FIR-2026-002331,KA30ZR7742,SUV,Black Hero
V0001225,FIR-2025-002334,KA05NN5421,Scooter,Silver TVS
V0001226,FIR-2026-002335,KA45RF9709,Car,Blue Honda
V0001227,FIR-2024-002341,KA32UO9485,Mini Truck,Maroon TVS
V0001228,FIR-2026-002343,KA07IR7097,Motorcycle,Silver Honda
V0001229,FIR-2024-002345,KA35ON1020,SUV,Blue Bajaj
V0001230,FIR-2025-002346,KA38AJ9433,Mini Truck,Grey Hero
V0001231,FIR-2024-002349,KA32OK7160,Scooter,Black TVS
V0001232,FIR-2024-002349,KA50UB0508,Scooter,Black Maruti
V0001233,FIR-2026-002351,KA40RA6455,Car,Blue Bajaj
V0001234,FIR-2024-002353,KA43DM4532,SUV,Black Bajaj
V0001235,FIR-2025-002354,KA40RA6455,Auto Rickshaw,Silver TVS
V0001236,FIR-2023-002356,KA20YM6865,Car,Red Hyundai
V0001237,FIR-2023-002356,KA37GO4198,SUV,Black Hero
V0001238,FIR-2024-002365,KA30MP5130,Tempo,Grey Hero
V0001239,FIR-2026-002367,KA32VG1729,Auto Rickshaw,Maroon Hero
V0001240,FIR-2023-002372,KA25PA5763,Car,Black Hero
V0001241,FIR-2025-002378,KA18KK8849,Scooter,Black Hero
V0001242,FIR-2026-002379,KA04CO6502,Mini Truck,Red Honda
V0001243,FIR-2026-002379,KA39ZX1327,Mini Truck,
V0001244,FIR-2023-002380,KA22DM7953,Mini Truck,Grey Honda
V0001245,FIR-2024-002385,KA36DP7753,Car,White TVS
V0001246,FIR-2024-002385,KA31YT9476,Tempo,Maroon TVS
V0001247,FIR-2025-002386,KA39ZA4584,Mini Truck,Silver Honda
V0001248,FIR-2024-002389,KA05NJ5295,Scooter,Grey Maruti
V0001249,FIR-2025-002390,KA07AX8839,Auto Rickshaw,White TVS
V0001250,FIR-2025-002390,KA25PA5763,SUV,Red Maruti
V0001251,FIR-2024-002393,KA30YD1271,Car,White Hero
V0001252,FIR-2025-002394,KA48PO4246,Auto Rickshaw,Silver Honda
V0001253,FIR-2023-002396,KA01NP1729,SUV,
V0001254,FIR-2024-002397,KA06EE3788,Scooter,
V0001255,FIR-2025-002398,KA37GO4198,Auto Rickshaw,White Hyundai
V0001256,FIR-2025-002402,KA12YP0825,Mini Truck,Maroon TVS
V0001257,FIR-2025-002402,KA36JB6520,SUV,
V0001258,FIR-2026-002403,KA15FZ8486,Car,
V0001259,FIR-2023-002404,KA13YX4930,Mini Truck,Silver Honda
V0001260,FIR-2024-002409,KA23RN6071,Tempo,Grey Hero
