fir_number,district,police_station,crime_type,crime_category,severity,latitude,longitude,h3_r7,h3_r8,h3_r9,occurred_at,reported_at,hour,day_of_week,modus_operandi,description,status,victim_count,accused_count,property_value_inr,weapon_used,source
FIR-2026-000627,Bengaluru City,Bengaluru Nagar PS,Phishing / OTP Fraud,Cybercrime,3,12.963735,77.572851,8760145b5ffffff,8860145b59fffff,8960145b583ffff,2025-05-12T05:23:00,2025-05-14T05:36:00,5,0,"SIM swap executed, card not present transaction, social engineering used","On the date of incident, SIM swap executed, card not present transaction, social engineering used. Reported at Bengaluru City.",Closed,1,1,272000.0,,demo-synthetic
FIR-2023-000628,Bengaluru City,Bengaluru East PS,Molestation,Crime Against Women,1,12.99209,77.624775,8761892e8ffffff,8861892e83fffff,8961892e823ffff,2024-03-16T08:57:00,2024-03-16T17:40:00,8,5,"outraged modesty, blocked path, workplace incident","Investigation reveals that outraged modesty, blocked path, workplace incident. Reported at Bengaluru City.",Closed,1,1,,,demo-synthetic
FIR-2024-000629,Dakshina Kannada,Dakshina East PS,Drug Possession (NDPS),Narcotics,3,12.909476,75.206153,876011055ffffff,886011055bfffff,896011055a7ffff,2023-10-20T10:29:00,2023-10-20T23:02:00,10,4,"caught in raid, MDMA pills recovered, peddler network","The victim states that caught in raid, MDMA pills recovered, peddler network. Reported at Dakshina Kannada.",Closed,1,1,,,demo-synthetic
FIR-2025-000630,Kolar,Kolar Town PS,House Theft,Property,3,13.134095,78.122655,876189721ffffff,8861897219fffff,89618972183ffff,2025-01-15T23:14:00,2025-01-16T07:49:00,23,2,"false ceiling crawled, mobile phones lifted, no forced entry","On the date of incident, false ceiling crawled, mobile phones lifted, no forced entry. Reported at Kolar.",Closed,5,1,93500.0,,demo-synthetic
FIR-2026-000631,Mandya,Mandya Lake PS,Burglary,Property,3,12.548617,76.938941,87601404bffffff,88601404b5fffff,89601404b43ffff,2024-09-23T09:02:00,2024-09-23T10:02:00,9,0,"grille cut open, almirah emptied, CCTV wires cut","The victim states that grille cut open, almirah emptied, CCTV wires cut. Reported at Mandya.",ChargeSheeted,1,4,285600.0,,demo-synthetic
FIR-2023-000632,Bengaluru City,Bengaluru Lake PS,Robbery,Property,4,13.020788,77.575538,8760145b2ffffff,8860145b27fffff,8960145b273ffff,2025-06-30T23:15:00,2025-07-01T06:14:00,23,0,"gang surrounded victim, cash and phone taken, late night near ATM","On the date of incident, gang surrounded victim, cash and phone taken, late night near ATM. Reported at Bengaluru City.",UnderInvestigation,1,1,200800.0,Acid,demo-synthetic
FIR-2024-000633,Belagavi,Belagavi Nagar PS,Rioting,Violent,3,15.849018,74.504661,8760a8219ffffff,8860a82191fffff,8960a821903ffff,2025-11-21T00:23:00,2025-11-23T00:38:00,0,4,"unlawful assembly, vehicles set ablaze, curfew imposed","Complainant reports that unlawful assembly, vehicles set ablaze, curfew imposed. Reported at Belagavi.",ChargeSheeted,1,5,,Machete,demo-synthetic
FIR-2025-000634,Bengaluru City,Bengaluru Nagar PS,Online Financial Fraud,Cybercrime,3,12.986416,77.576326,8760145b0ffffff,8860145b09fffff,8960145b083ffff,2025-05-19T19:31:00,2025-05-24T20:30:00,19,0,"remote-access app installed, OTP shared by victim, victim contacted on WhatsApp","The victim states that remote-access app installed, OTP shared by victim, victim contacted on WhatsApp. Reported at Bengaluru City.",UnderInvestigation,1,2,708100.0,,demo-synthetic
FIR-2026-000635,Bengaluru Rural,Bengaluru Lake PS,Excise / Illicit Liquor,Narcotics,3,13.220892,77.58302,876016952ffffff,8860169529fffff,8960169528fffff,2024-12-17T17:51:00,2024-12-17T20:30:00,17,1,"raid on illegal unit, ID liquor cartons recovered, smuggled across border","On the date of incident, raid on illegal unit, ID liquor cartons recovered, smuggled across border. Reported at Bengaluru Rural.",Closed,1,1,,,demo-synthetic
FIR-2023-000636,Bengaluru City,Bengaluru Cantonment PS,Online Financial Fraud,Cybercrime,3,12.98527,77.624622,8761892e8ffffff,8861892e8bfffff,8961892e8a7ffff,2023-10-20T22:37:00,2023-10-21T10:53:00,22,4,"phishing link sent, card details captured, money routed through mule accounts","Complainant reports that phishing link sent, card details captured, money routed through mule accounts. Reported at Bengaluru City.",Closed,4,5,226600.0,,demo-synthetic
FIR-2024-000637,Bengaluru City,Bengaluru East PS,Domestic Violence,Crime Against Women,4,12.991387,77.58433,8760145b0ffffff,8860145b0dfffff,8960145b0d3ffff,2023-09-27T12:53:00,2023-09-27T21:36:00,12,2,"dispute with in-laws, thrown out of house, repeated incidents","As per the FIR, dispute with in-laws, thrown out of house, repeated incidents. Reported at Bengaluru City.",ChargeSheeted,1,1,,,demo-synthetic
FIR-2025-000638,Hassan,Hassan South PS,Vehicle Theft,Property,3,12.984467,76.113515,876010a18ffffff,886010a189fffff,896010a1887ffff,2025-02-11T01:32:00,2025-02-11T09:56:00,1,1,"duplicate key used, vehicle parts stripped, near railway station","Complainant reports that duplicate key used, vehicle parts stripped, near railway station. Reported at Hassan.",ChargeSheeted,1,1,20100.0,,demo-synthetic
FIR-2026-000639,Bengaluru City,Bengaluru Town PS,Assault,Violent,3,12.963889,77.597159,87618925affffff,88618925a3fffff,89618925a23ffff,2024-04-21T21:42:00,2024-04-22T00:35:00,21,6,"argument over money, hit with blunt object, alcohol involved","On the date of incident, argument over money, hit with blunt object, alcohol involved. Reported at Bengaluru City.",Closed,1,1,,Country-made pistol,demo-synthetic
FIR-2023-000640,Bidar,Bidar South PS,Chain Snatching,Property,3,17.907329,77.445531,876084555ffffff,8860845559fffff,8960845558fffff,2024-10-21T08:00:00,2024-10-21T20:58:00,8,0,"approached from behind, gold chain snatched, fled towards main road","On the date of incident, approached from behind, gold chain snatched, fled towards main road. Reported at Bidar.",UnderInvestigation,1,1,192000.0,,demo-synthetic
FIR-2024-000641,Chikkaballapura,Chikkaballapura East PS,House Theft,Property,3,13.438938,77.710599,87601699affffff,88601699a5fffff,89601699a53ffff,2024-02-25T01:52:00,2024-02-27T02:20:00,1,6,"door latch lifted, mobile phones lifted, no forced entry","As per the FIR, door latch lifted, mobile phones lifted, no forced entry. Reported at Chikkaballapura.",Closed,1,1,27900.0,,demo-synthetic
FIR-2025-000642,Hubballi-Dharwad,Hubballi-Dharwad Lake PS,Drug Possession (NDPS),Narcotics,3,15.327742,75.102523,8760a8943ffffff,8860a89437fffff,8960a894363ffff,2025-01-15T18:55:00,2025-01-16T19:24:00,18,2,"intercepted at checkpost, MDMA pills recovered, weighing scale recovered","Complainant reports that intercepted at checkpost, MDMA pills recovered, weighing scale recovered. Reported at Hubballi-Dharwad.",ChargeSheeted,1,6,,,demo-synthetic
FIR-2026-000643,Hubballi-Dharwad,Hubballi-Dharwad Market PS,Assault,Violent,2,15.32979,75.104034,8760a8943ffffff,8860a89437fffff,8960a894363ffff,2025-01-02T17:17:00,2025-01-02T18:48:00,17,3,"argument over money, hit with blunt object, alcohol involved","Investigation reveals that argument over money, hit with blunt object, alcohol involved. Reported at Hubballi-Dharwad.",Closed,1,3,,Machete,demo-synthetic
FIR-2023-000644,Mangaluru,Mangaluru City PS,Chain Snatching,Property,4,12.95771,74.86667,87601120bffffff,88601120b5fffff,89601120b53ffff,2024-02-05T18:52:00,2024-02-05T21:05:00,18,0,"two riders on motorcycle, mangalsutra pulled, morning walk hours","On the date of incident, two riders on motorcycle, mangalsutra pulled, morning walk hours. Reported at Mangaluru.",Open,1,1,,,demo-synthetic
FIR-2024-000645,Uttara Kannada,Uttara North PS,Cheating / Fraud,Economic,3,14.78481,74.71405,8760ad018ffffff,8860ad0181fffff,8960ad01807ffff,2025-01-17T02:35:00,2025-01-17T15:14:00,2,4,"fake investment scheme, cheque dishonoured, multiple victims targeted","As per the FIR, fake investment scheme, cheque dishonoured, multiple victims targeted. Reported at Uttara Kannada.",Closed,1,2,3320800.0,,demo-synthetic
FIR-2025-000646,Chamarajanagar,Chamarajanagar Town PS,Vehicle Theft,Property,3,11.931947,76.87869,87603379cffffff,88603379cdfffff,89603379cd7ffff,2026-01-14T22:19:00,2026-01-14T23:31:00,22,2,"duplicate key used, vehicle parts stripped, outside shopping mall","As per the FIR, duplicate key used, vehicle parts stripped, outside shopping mall. Reported at Chamarajanagar.",Closed,1,4,57700.0,,demo-synthetic
FIR-2026-000647,Bengaluru City,Bengaluru South PS,Burglary,Property,3,12.960446,77.64878,876189253ffffff,8861892535fffff,89618925357ffff,2024-11-09T23:57:00,2024-11-10T02:17:00,23,5,"rear window broken, jewellery taken, night-time entry","Complainant reports that rear window broken, jewellery taken, night-time entry. Reported at Bengaluru City.",Closed,3,1,183700.0,,demo-synthetic
FIR-2023-000648,Bengaluru City,Bengaluru Cantonment PS,Online Financial Fraud,Cybercrime,2,12.933398,77.629473,876189251ffffff,8861892513fffff,89618925127ffff,2026-04-07T19:33:00,2026-04-10T19:36:00,19,1,"fake KYC update message, card details captured, money routed through mule accounts","The victim states that fake KYC update message, card details captured, money routed through mule accounts. Reported at Bengaluru City.",ChargeSheeted,3,1,332700.0,,demo-synthetic
FIR-2024-000649,Raichur,Raichur Nagar PS,Dacoity,Property,5,16.288456,77.34208,8760a3983ffffff,8860a3983bfffff,8960a3983abffff,2023-10-30T06:00:00,2023-10-30T08:44:00,6,0,"family held hostage, locker looted, fled in waiting vehicle","Complainant reports that family held hostage, locker looted, fled in waiting vehicle. Reported at Raichur.",Closed,1,4,6366100.0,Knife,demo-synthetic
FIR-2025-000650,Bengaluru City,Bengaluru Market PS,Online Financial Fraud,Cybercrime,2,12.928577,77.595286,87618925dffffff,88618925d7fffff,89618925d6bffff,2023-11-15T02:41:00,2023-11-22T03:23:00,2,2,"fake customer-care number, OTP shared by victim, withdrawn from distant ATM","Complainant reports that fake customer-care number, OTP shared by victim, withdrawn from distant ATM. Reported at Bengaluru City.",Closed,1,1,609000.0,,demo-synthetic
FIR-2026-000651,Dakshina Kannada,Dakshina Market PS,Vehicle Theft,Property,4,12.8777,75.23968,876011070ffffff,886011070bfffff,896011070a7ffff,2023-09-18T23:15:00,2023-09-19T01:28:00,23,0,"ignition hot-wired, car taken from parking lot, near railway station","The victim states that ignition hot-wired, car taken from parking lot, near railway station. Reported at Dakshina Kannada.",UnderInvestigation,3,3,178000.0,,demo-synthetic
FIR-2023-000652,Bengaluru City,Bengaluru Industrial Area PS,Chain Snatching,Property,4,12.952257,77.573081,8760145a6ffffff,8860145a6dfffff,8960145a6cbffff,2026-02-16T20:12:00,2026-02-17T05:08:00,20,0,"approached from behind, necklace grabbed, victim walking alone","As per the FIR, approached from behind, necklace grabbed, victim walking alone. Reported at Bengaluru City.",UnderInvestigation,1,5,113400.0,,demo-synthetic
FIR-2024-000653,Gadag,Gadag Nagar PS,Kidnapping,Violent,4,15.420255,75.590123,8760ac620ffffff,8860ac6201fffff,8960ac6201bffff,2023-10-29T08:26:00,2023-10-29T20:50:00,8,6,"lured with false promise, ransom demanded, known to family","On the date of incident, lured with false promise, ransom demanded, known to family. Reported at Gadag.",Closed,1,1,,,demo-synthetic
FIR-2025-000654,Mandya,Mandya Rural PS,Dowry Harassment,Crime Against Women,2,12.50344,76.857411,87601431cffffff,88601431c9fffff,89601431c9bffff,2025-03-16T14:21:00,2025-03-18T14:57:00,14,6,"pressure for cash and gold, denied food, marriage two years ago","Complainant reports that pressure for cash and gold, denied food, marriage two years ago. Reported at Mandya.",ChargeSheeted,1,1,,,demo-synthetic
FIR-2026-000655,Mandya,Mandya Town PS,Phishing / OTP Fraud,Cybercrime,2,12.532046,76.867178,876014313ffffff,886014313bfffff,896014313a7ffff,2026-06-01T07:34:00,2026-06-02T08:16:00,7,0,"OTP obtained on pretext of reward, card not present transaction, social engineering used","On the date of incident, OTP obtained on pretext of reward, card not present transaction, social engineering used. Reported at Mandya.",UnderInvestigation,1,1,,,demo-synthetic
FIR-2023-000656,Bengaluru City,Bengaluru Nagar PS,Vehicle Theft,Property,2,12.84101,77.658481,876189260ffffff,8861892607fffff,89618926073ffff,2025-08-13T19:52:00,2025-08-14T03:54:00,19,2,"ignition hot-wired, vehicle parts stripped, number plate swapped","As per the FIR, ignition hot-wired, vehicle parts stripped, number plate swapped. Reported at Bengaluru City.",Closed,1,4,557000.0,,demo-synthetic
FIR-2024-000657,Bengaluru City,Bengaluru Town PS,Burglary,Property,2,12.960816,77.643469,876189253ffffff,8861892537fffff,89618925373ffff,2024-06-22T21:52:00,2024-06-23T06:37:00,21,5,"grille cut open, almirah emptied, CCTV wires cut","The victim states that grille cut open, almirah emptied, CCTV wires cut. Reported at Bengaluru City.",Closed,1,2,431900.0,,demo-synthetic
FIR-2025-000658,Bengaluru City,Bengaluru City PS,Phishing / OTP Fraud,Cybercrime,4,13.030964,77.67604,8761892c4ffffff,8861892c41fffff,8961892c407ffff,2024-07-28T20:13:00,2024-07-30T20:23:00,20,6,"SIM swap executed, card not present transaction, social engineering used","On the date of incident, SIM swap executed, card not present transaction, social engineering used. Reported at Bengaluru City.",ChargeSheeted,1,2,173000.0,,demo-synthetic
FIR-2026-000659,Koppal,Koppal South PS,Online Financial Fraud,Cybercrime,3,15.362188,76.161574,8760ac534ffffff,8860ac534dfffff,8960ac534c7ffff,2026-04-09T07:03:00,2026-04-16T07:39:00,7,3,"remote-access app installed, amount debited via UPI, spoofed bank SMS","On the date of incident, remote-access app installed, amount debited via UPI, spoofed bank SMS. Reported at Koppal.",Open,1,1,586700.0,,demo-synthetic
FIR-2023-000660,Bengaluru City,Bengaluru Nagar PS,Vehicle Theft,Property,2,12.852776,77.674526,876189266ffffff,8861892667fffff,8961892666fffff,2025-08-21T20:35:00,2025-08-21T23:23:00,20,3,"steering lock broken, car taken from parking lot, number plate swapped","The victim states that steering lock broken, car taken from parking lot, number plate swapped. Reported at Bengaluru City.",Closed,1,1,39100.0,,demo-synthetic
FIR-2024-000661,Bengaluru City,Bengaluru Nagar PS,House Theft,Property,4,12.971768,77.593162,8760145b4ffffff,8860145b49fffff,8960145b483ffff,2023-07-09T03:00:00,2023-07-11T03:48:00,3,6,"door latch lifted, mobile phones lifted, daytime when house empty","As per the FIR, door latch lifted, mobile phones lifted, daytime when house empty. Reported at Bengaluru City.",Closed,1,1,466700.0,,demo-synthetic
FIR-2025-000662,Hassan,Hassan Lake PS,Cheating / Fraud,Economic,3,12.949102,76.085062,876010a08ffffff,886010a085fffff,896010a0847ffff,2024-06-05T19:26:00,2024-06-06T19:29:00,19,2,"posed as bank official, cheque dishonoured, multiple victims targeted","Investigation reveals that posed as bank official, cheque dishonoured, multiple victims targeted. Reported at Hassan.",UnderInvestigation,1,1,2219400.0,,demo-synthetic
FIR-2026-000663,Bengaluru City,Bengaluru North PS,Online Financial Fraud,Cybercrime,3,13.001444,77.606636,8761892ebffffff,8860145b6dfffff,8960145b6dbffff,2024-06-12T12:39:00,2024-06-13T00:42:00,12,2,"remote-access app installed, OTP shared by victim, victim contacted on WhatsApp","Investigation reveals that remote-access app installed, OTP shared by victim, victim contacted on WhatsApp. Reported at Bengaluru City.",Closed,1,2,182000.0,,demo-synthetic
FIR-2023-000664,Bengaluru City,Bengaluru Market PS,Phishing / OTP Fraud,Cybercrime,4,12.913499,77.632403,876189242ffffff,8861892421fffff,8961892420fffff,2024-07-12T04:31:00,2024-07-14T04:45:00,4,4,"OTP obtained on pretext of reward, bank account drained, multiple small debits","Investigation reveals that OTP obtained on pretext of reward, bank account drained, multiple small debits. Reported at Bengaluru City.",Closed,3,1,49500.0,,demo-synthetic
FIR-2024-000665,Bengaluru Rural,Bengaluru Market PS,Domestic Violence,Crime Against Women,4,13.181869,77.530197,87601695cffffff,88601695cbfffff,89601695ca3ffff,2026-04-29T12:34:00,2026-04-29T16:57:00,12,2,"dispute with in-laws, physically assaulted, repeated incidents","On the date of incident, dispute with in-laws, physically assaulted, repeated incidents. Reported at Bengaluru Rural.",UnderInvestigation,2,1,,,demo-synthetic
FIR-2025-000666,Bengaluru City,Bengaluru City PS,Online Financial Fraud,Cybercrime,4,12.98731,77.571216,8760145b0ffffff,8860145b0bfffff,8960145b0bbffff,2025-02-19T23:53:00,2025-02-25T00:02:00,23,2,"fake KYC update message, amount debited via UPI, withdrawn from distant ATM","The victim states that fake KYC update message, amount debited via UPI, withdrawn from distant ATM. Reported at Bengaluru City.",Closed,1,1,350900.0,,demo-synthetic
FIR-2026-000667,Bengaluru City,Bengaluru East PS,Burglary,Property,2,13.010347,77.572107,8760145b2ffffff,8860145b2bfffff,8960145b2afffff,2024-08-29T21:44:00,2024-08-30T01:45:00,21,3,"duplicate key used, electronics removed, guard dog poisoned","Investigation reveals that duplicate key used, electronics removed, guard dog poisoned. Reported at Bengaluru City.",ChargeSheeted,1,3,468300.0,,demo-synthetic
FIR-2023-000668,Bengaluru City,Bengaluru Town PS,Online Financial Fraud,Cybercrime,3,12.953948,77.629108,87618925effffff,88618925e5fffff,89618925e53ffff,2025-09-08T07:58:00,2025-09-13T08:26:00,7,0,"fake KYC update message, card details captured, withdrawn from distant ATM","As per the FIR, fake KYC update message, card details captured, withdrawn from distant ATM. Reported at Bengaluru City.",Open,1,1,209500.0,,demo-synthetic
FIR-2024-000669,Shivamogga,Shivamogga Market PS,Chain Snatching,Property,2,13.908638,75.588024,876013109ffffff,8860131099fffff,8960131099bffff,2024-05-19T18:47:00,2024-05-20T03:29:00,18,6,"two riders on motorcycle, necklace grabbed, victim walking alone","As per the FIR, two riders on motorcycle, necklace grabbed, victim walking alone. Reported at Shivamogga.",ChargeSheeted,5,1,52800.0,,demo-synthetic
FIR-2025-000670,Udupi,Udupi Lake PS,Dowry Harassment,Crime Against Women,2,13.327083,74.727761,87601e81cffffff,88601e81c9fffff,89601e81c8bffff,2026-01-26T22:22:00,2026-01-27T10:45:00,22,0,"pressure for cash and gold, mental and physical harassment, family approached police","On the date of incident, pressure for cash and gold, mental and physical harassment, family approached police. Reported at Udupi.",Closed,1,6,,,demo-synthetic
FIR-2026-000671,Chikkamagaluru,Chikkamagaluru East PS,Burglary,Property,2,13.371416,75.758302,8760115b6ffffff,8860115b67fffff,8960115b67bffff,2024-11-14T10:44:00,2024-11-14T13:18:00,10,3,"duplicate key used, jewellery taken, CCTV wires cut","As per the FIR, duplicate key used, jewellery taken, CCTV wires cut. Reported at Chikkamagaluru.",Open,1,1,344800.0,,demo-synthetic
FIR-2023-000672,Belagavi,Belagavi Market PS,House Theft,Property,3,15.85162,74.506119,8760a8219ffffff,8860a82195fffff,8960a821957ffff,2024-04-29T05:09:00,2024-04-29T07:11:00,5,0,"false ceiling crawled, ornaments stolen, no forced entry","On the date of incident, false ceiling crawled, ornaments stolen, no forced entry. Reported at Belagavi.",ChargeSheeted,3,1,481900.0,,demo-synthetic
FIR-2024-000673,Bengaluru City,Bengaluru South PS,Excise / Illicit Liquor,Narcotics,2,12.924301,77.606885,87618925dffffff,88618925c3fffff,89618925c27ffff,2024-02-16T08:27:00,2024-02-16T09:38:00,8,4,"raid on illegal unit, illicit liquor seized, unit destroyed","The victim states that raid on illegal unit, illicit liquor seized, unit destroyed. Reported at Bengaluru City.",ChargeSheeted,5,4,,,demo-synthetic
FIR-2025-000674,Bengaluru City,Bengaluru Nagar PS,Online Financial Fraud,Cybercrime,2,12.984312,77.628578,8761892e8ffffff,8861892e8bfffff,8961892e8a3ffff,2024-01-13T00:04:00,2024-01-13T12:58:00,0,5,"remote-access app installed, OTP shared by victim, money routed through mule accounts","The victim states that remote-access app installed, OTP shared by victim, money routed through mule accounts. Reported at Bengaluru City.",ChargeSheeted,1,1,,,demo-synthetic
FIR-2026-000675,Tumakuru,Tumakuru City PS,Assault,Violent,3,13.358856,77.066945,876016ae1ffffff,886016ae15fffff,896016ae027ffff,2026-06-05T02:50:00,2026-06-06T03:21:00,2,4,"argument over money, victim beaten with sticks, alcohol involved","Investigation reveals that argument over money, victim beaten with sticks, alcohol involved. Reported at Tumakuru.",ChargeSheeted,1,1,,Country-made pistol,demo-synthetic
FIR-2023-000676,Vijayapura,Vijayapura West PS,Burglary,Property,3,16.844162,75.769299,876085a4dffffff,886085a4d7fffff,896085a4d77ffff,2023-11-07T19:31:00,2023-11-08T00:04:00,19,1,"ventilator forced, cash and gold stolen, guard dog poisoned","Investigation reveals that ventilator forced, cash and gold stolen, guard dog poisoned. Reported at Vijayapura.",ChargeSheeted,1,3,235000.0,,demo-synthetic
FIR-2024-000677,Bengaluru City,Bengaluru Lake PS,Online Financial Fraud,Cybercrime,3,12.955126,77.581197,87618925bffffff,88618925b3fffff,89618925b07ffff,2023-10-10T05:20:00,2023-10-11T05:57:00,5,1,"fake KYC update message, OTP shared by victim, victim contacted on WhatsApp","Complainant reports that fake KYC update message, OTP shared by victim, victim contacted on WhatsApp. Reported at Bengaluru City.",ChargeSheeted,1,1,124800.0,,demo-synthetic
FIR-2025-000678,Bengaluru City,Bengaluru Nagar PS,Robbery,Property,4,12.999298,77.588753,8760145b6ffffff,8860145b63fffff,8960145b633ffff,2025-05-15T21:09:00,2025-05-15T23:02:00,21,3,"knife brandished, valuables looted, on isolated stretch","On the date of incident, knife brandished, valuables looted, on isolated stretch. Reported at Bengaluru City.",Closed,1,1,389100.0,,demo-synthetic
FIR-2026-000679,Bengaluru City,Bengaluru Industrial Area PS,Burglary,Property,3,12.971156,77.74906,87618921dffffff,88618921d1fffff,89618921d1bffff,2025-11-12T18:16:00,2025-11-12T22:41:00,18,2,"ventilator forced, cash and gold stolen, CCTV wires cut","The victim states that ventilator forced, cash and gold stolen, CCTV wires cut. Reported at Bengaluru City.",ChargeSheeted,1,2,293800.0,,demo-synthetic
FIR-2023-000680,Bengaluru City,Bengaluru City PS,Burglary,Property,4,12.947053,77.599376,876189258ffffff,8861892587fffff,89618925873ffff,2025-07-18T14:37:00,2025-07-18T15:45:00,14,4,"back door pried open, almirah emptied, occupants away on travel","The victim states that back door pried open, almirah emptied, occupants away on travel. Reported at Bengaluru City.",UnderInvestigation,1,5,574500.0,,demo-synthetic
FIR-2024-000681,Mangaluru,Mangaluru South PS,House Theft,Property,3,12.948992,74.909584,876011203ffffff,8860112033fffff,89601120333ffff,2026-03-25T10:05:00,2026-03-26T10:14:00,10,2,"unlocked door entered, cash from drawer taken, daytime when house empty","Investigation reveals that unlocked door entered, cash from drawer taken, daytime when house empty. Reported at Mangaluru.",UnderInvestigation,1,1,497200.0,,demo-synthetic
FIR-2025-000682,Vijayapura,Vijayapura Cantonment PS,Assault,Violent,2,16.835899,75.723987,8760aad15ffffff,8860aad15dfffff,8960aad15d7ffff,2024-12-19T02:01:00,2024-12-19T06:40:00,2,3,"argument over money, victim beaten with sticks, group attack","As per the FIR, argument over money, victim beaten with sticks, group attack. Reported at Vijayapura.",UnderInvestigation,1,2,,Country-made pistol,demo-synthetic
FIR-2026-000683,Koppal,Koppal South PS,Vehicle Theft,Property,3,15.358941,76.119894,8760ac531ffffff,8860ac5225fffff,8960ac5224bffff,2024-12-05T23:43:00,2024-12-08T00:23:00,23,3,"master key used, vehicle parts stripped, outside shopping mall","Investigation reveals that master key used, vehicle parts stripped, outside shopping mall. Reported at Koppal.",UnderInvestigation,1,5,,,demo-synthetic
FIR-2023-000684,Bengaluru City,Bengaluru Industrial Area PS,House Theft,Property,3,12.948286,77.601907,876189258ffffff,8861892587fffff,8961892587bffff,2025-05-21T17:13:00,2025-05-23T17:57:00,17,2,"false ceiling crawled, ornaments stolen, daytime when house empty","As per the FIR, false ceiling crawled, ornaments stolen, daytime when house empty. Reported at Bengaluru City.",ChargeSheeted,3,1,595300.0,,demo-synthetic
FIR-2024-000685,Raichur,Raichur East PS,Assault,Violent,3,16.170962,77.338766,8760a3911ffffff,8860a39115fffff,8960a391147ffff,2026-03-21T03:05:00,2026-03-22T03:47:00,3,5,"old enmity, victim beaten with sticks, near liquor shop","As per the FIR, old enmity, victim beaten with sticks, near liquor shop. Reported at Raichur.",UnderInvestigation,1,2,,Sharp-edged weapon,demo-synthetic
FIR-2025-000686,Bengaluru City,Bengaluru Cantonment PS,Drug Possession (NDPS),Narcotics,4,12.964807,77.569566,8760145b5ffffff,8860145b59fffff,8960145b58fffff,2024-08-03T12:04:00,2024-08-04T00:54:00,12,5,"intercepted at checkpost, ganja seized, peddler network","Investigation reveals that intercepted at checkpost, ganja seized, peddler network. Reported at Bengaluru City.",Closed,1,4,,,demo-synthetic
FIR-2026-000687,Bengaluru City,Bengaluru Cantonment PS,Online Financial Fraud,Cybercrime,3,12.948136,77.624482,87618925effffff,88618925e1fffff,89618925e03ffff,2025-10-04T20:04:00,2025-10-09T20:37:00,20,5,"fake customer-care number, OTP shared by victim, withdrawn from distant ATM","Complainant reports that fake customer-care number, OTP shared by victim, withdrawn from distant ATM. Reported at Bengaluru City.",ChargeSheeted,3,1,796800.0,,demo-synthetic
FIR-2023-000688,Udupi,Udupi Industrial Area PS,Molestation,Crime Against Women,2,13.370031,74.728253,87601e8adffffff,88601e8adbfffff,89601e8ada3ffff,2025-01-24T20:13:00,2025-01-25T20:20:00,20,4,"outraged modesty, blocked path, repeat offender","As per the FIR, outraged modesty, blocked path, repeat offender. Reported at Udupi.",Closed,1,1,,,demo-synthetic
FIR-2024-000689,Udupi,Udupi West PS,Domestic Violence,Crime Against Women,3,13.337233,74.724642,87601e81cffffff,88601e81c5fffff,89601e81c0bffff,2024-04-22T09:55:00,2024-04-22T12:45:00,9,0,"frequent quarrels, physically assaulted, dowry-related","The victim states that frequent quarrels, physically assaulted, dowry-related. Reported at Udupi.",Closed,3,6,,,demo-synthetic
FIR-2025-000690,Mysuru,Mysuru East PS,Domestic Violence,Crime Against Women,2,12.282388,76.620077,876015d8affffff,886015d8bdfffff,896015d8bdbffff,2025-05-07T22:51:00,2025-05-08T23:08:00,22,2,"frequent quarrels, physically assaulted, dowry-related","The victim states that frequent quarrels, physically assaulted, dowry-related. Reported at Mysuru.",Open,1,5,,,demo-synthetic
FIR-2026-000691,Bengaluru City,Bengaluru Industrial Area PS,POCSO,Crime Against Children,5,12.970485,77.667948,876189252ffffff,8861892525fffff,89618925247ffff,2023-12-22T08:44:00,2023-12-22T17:30:00,8,4,"lured the minor, abuse reported by parents, counselling provided","The victim states that lured the minor, abuse reported by parents, counselling provided. Reported at Bengaluru City.",Closed,4,1,,,demo-synthetic
FIR-2023-000692,Ballari,Ballari Cantonment PS,Domestic Violence,Crime Against Women,3,15.105541,76.917195,8760a180dffffff,8860a180d3fffff,8960a180d23ffff,2025-06-29T12:23:00,2025-07-01T12:58:00,12,6,"dispute with in-laws, subjected to cruelty, dowry-related","On the date of incident, dispute with in-laws, subjected to cruelty, dowry-related. Reported at Ballari.",UnderInvestigation,1,1,,,demo-synthetic
FIR-2024-000693,Hubballi-Dharwad,Hubballi-Dharwad Industrial Area PS,Assault,Violent,4,15.36458,75.093049,8760a8958ffffff,8860a89587fffff,8960a895863ffff,2024-11-06T22:48:00,2024-11-07T00:04:00,22,2,"argument over money, victim beaten with sticks, near liquor shop","Complainant reports that argument over money, victim beaten with sticks, near liquor shop. Reported at Hubballi-Dharwad.",Closed,2,5,,,demo-synthetic
FIR-2025-000694,Kalaburagi,Kalaburagi West PS,Attempt to Murder,Violent,4,17.315293,76.846667,876084a5affffff,886084a5abfffff,896084a5abbffff,2023-08-24T02:07:00,2023-08-24T03:58:00,2,3,"sudden assault, stabbed and fled, gang rivalry","Investigation reveals that sudden assault, stabbed and fled, gang rivalry. Reported at Kalaburagi.",UnderInvestigation,1,1,,Country-made pistol,demo-synthetic
